Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
83	-1230127.1	995114.7	605.78955	-2766690.2	309.14285	-378.7346	0.00019095995	-378.7312	-378.7347	336000	-7.450581e-09	56021200000.0	-0.02077084	-202824.86	0.002557864	0.0	99.61956286430359
84	90.90793	574.5954	660.7669	-663.4986	1000.0	-381.27307	4.960867e-05	-381.273	-381.2732	340000	-8.940697e-08	185003.62	-0.023600064	149.14844	0.0062163398	0.0	100.70636987686157
85	-1532025.8	486854.7	-2042.1124	-2122211.8	92.933334	-381.45438	0.0002860968	-381.44827	-381.45444	344000	-5.9604645e-08	124123610000.0	-0.001698548	-851708.5	0.0049074516	0.0	101.7766330242157
86	-1041407.44	673376.2	785.4815	-1764849.5	303.57144	-385.669	0.00019666739	-385.66418	-385.6691	348000	0.0	37444620000.0	-0.018367678	-116949.055	0.0052173305	0.0	102.82475590705872
87	-1397638.2	663906.94	217.76369	-2556805.2	155.625	-387.5537	0.00020067715	-387.54956	-387.5538	352000	2.2351742e-08	74439434000.0	-0.019130189	-363928.97	0.0066841478	0.0	104.03309106826782
88	-1338758.0	502548.22	377.37424	-1806681.2	125.2	-390.44522	0.00012497963	-390.44324	-390.44522	356000	3.7252903e-08	70762170000.0	-0.012975171	-375144.22	0.0033687174	0.0	105.21796298027039
89	-1419920.6	465286.88	518.45483	-1824827.9	122.63636	-393.5565	8.31401e-05	-393.5549	-393.55655	360000	4.377216e-08	110210060000.0	-0.018897746	-865293.7	0.0033879299	0.0	106.34139895439148
90	-1640755.8	791214.3	442.5907	-3832298.2	82.833336	-398.1793	0.0002009079	-398.17456	-398.1794	364000	7.4505806e-08	219763720000.0	-0.019823149	-2010615.2	0.009500027	0.0	107.77773880958557
91	-1737262.4	542603.4	-1257204.6	-3601208.5	26.421053	-405.20932	0.00025438922	-405.2042	-405.20938	368000	1.937151e-07	236706500000.0	-0.015464589	-2433536.0	0.003782405	0.0	108.91980195045471
92	-1755097.5	680539.4	-221824.39	-4037387.5	28.23077	-412.84174	0.00016471437	-412.8384	-412.84186	372000	-1.0058284e-07	332973470000.0	-0.0117161535	-4032512.0	0.0033231725	0.0	110.09161901473999
93	-1893001.1	574322.4	-1317500.9	-3701364.8	28.533333	-422.29382	0.00013425307	-422.29053	-422.2938	376000	-1.3411045e-07	475722150000.0	-0.009560302	-6761984.0	0.0065626116	0.0	111.39481377601624
94	-1545820.0	1149173.8	608.2641	-3446696.2	299.2857	-433.5802	8.734641e-05	-433.57938	-433.58032	380000	-2.2351742e-08	71783780000.0	-0.019907735	-181125.06	0.0046694763	0.0	112.52351689338684
95	-484318.1	838720.1	917.132	-1937022.5	756.25	-436.02545	2.3628963e-05	-436.02496	-436.02545	384000	-1.4901161e-08	16482918000.0	-0.0061336085	-8882.984	0.0027360534	0.0	113.62552380561829
96	-814573.5	725351.1	478.846	-1632986.5	443.85715	-436.51013	0.00011513259	-436.50842	-436.51013	388000	4.4703484e-08	25276185000.0	-0.018051784	-40355.703	0.0035533486	0.0	114.7124400138855
